case_id,genes,expected_keywords,method,match_mode,top1_hit,top3_hit,top5_hit,top1_pathway,top3_pathways,top5_pathways,mean_top5_specificity
HRR_repair,BRCA2;PALB2;CHEK2,dna repair;dna double-strand break repair;homologous recombination;hrr;homology directed repair,Gene-only retrieval,synonym,1,1,1,DNA Double-Strand Break Repair,DNA Double-Strand Break Repair | DNA Repair | Cell Cycle,DNA Double-Strand Break Repair | DNA Repair | Cell Cycle | Defective HDR through Homologous Recombination Repair (HRR) due to PALB2 loss of BRCA1 binding function | Defective HDR through Homologous Recombination Repair (HRR) due to PALB2 loss of BRCA2/RAD51/RAD51C binding function,1.0
mTOR_signaling,MTOR;RPTOR;RICTOR,mtor;mtorc1;mtorc2;pi3k;akt,Pathway-only retrieval,synonym,0,0,1,Gene expression (Transcription),Gene expression (Transcription) | Generic Transcription Pathway | Intracellular signaling by second messengers,Gene expression (Transcription) | Generic Transcription Pathway | Intracellular signaling by second messengers | PIP3 activates AKT signaling | RNA Polymerase II Transcription,0.88
mTOR_signaling,MTOR;RPTOR;RICTOR,mtor;mtorc1;mtorc2;pi3k;akt,GraphRAG-Gene,synonym,0,1,1,Intracellular signaling by second messengers,Intracellular signaling by second messengers | PIP3 activates AKT signaling | Generic Transcription Pathway,Intracellular signaling by second messengers | PIP3 activates AKT signaling | Generic Transcription Pathway | RNA Polymerase II Transcription | Signal Transduction,0.91
VEGF_signaling,VEGFA;KDR;FLT1,vegf;vascular endothelial growth factor;angiogenesis;receptor tyrosine kinases,Gene-only retrieval,synonym,0,1,1,Disease,Disease | Neurophilin interactions with VEGF and VEGFR | Signal Transduction,Disease | Neurophilin interactions with VEGF and VEGFR | Signal Transduction | Signaling by Receptor Tyrosine Kinases | Signaling by VEGF,0.94
VEGF_signaling,VEGFA;KDR;FLT1,vegf;vascular endothelial growth factor;angiogenesis;receptor tyrosine kinases,Pathway-only retrieval,synonym,0,1,1,Signal Transduction,Signal Transduction | Signaling by Receptor Tyrosine Kinases | Signaling by VEGF,Signal Transduction | Signaling by Receptor Tyrosine Kinases | Signaling by VEGF | VEGF binds to VEGFR leading to receptor dimerization | VEGF ligand-receptor interactions,0.97
VEGF_signaling,VEGFA;KDR;FLT1,vegf;vascular endothelial growth factor;angiogenesis;receptor tyrosine kinases,GraphRAG-Gene,synonym,1,1,1,Signaling by Receptor Tyrosine Kinases,Signaling by Receptor Tyrosine Kinases | Signaling by VEGF | VEGF binds to VEGFR leading to receptor dimerization,Signaling by Receptor Tyrosine Kinases | Signaling by VEGF | VEGF binds to VEGFR leading to receptor dimerization | VEGF ligand-receptor interactions | Signal Transduction,0.97
Integrin_signaling,ITGA5;ITGB1;FN1,integrin;extracellular matrix;ecm;cell adhesion,Gene-only retrieval,synonym,0,0,0,Cell surface interactions at the vascular wall,Cell surface interactions at the vascular wall | Axon guidance | Cytokine Signaling in Immune system,Cell surface interactions at the vascular wall | Axon guidance | Cytokine Signaling in Immune system | Developmental Biology | Elastic fibre formation,0.97
Integrin_signaling,ITGA5;ITGB1;FN1,integrin;extracellular matrix;ecm;cell adhesion,Pathway-only retrieval,synonym,0,1,1,Cell surface interactions at the vascular wall,Cell surface interactions at the vascular wall | Elastic fibre formation | Extracellular matrix organization,Cell surface interactions at the vascular wall | Elastic fibre formation | Extracellular matrix organization | Fibronectin matrix formation | G alpha (s) signalling events,1.0
Integrin_signaling,ITGA5;ITGB1;FN1,integrin;extracellular matrix;ecm;cell adhesion,GraphRAG-Gene,synonym,0,1,1,Cell surface interactions at the vascular wall,Cell surface interactions at the vascular wall | Elastic fibre formation | Extracellular matrix organization,Cell surface interactions at the vascular wall | Elastic fibre formation | Extracellular matrix organization | Fibronectin matrix formation | G alpha (s) signalling events,1.0
ECM_organization,COL1A1;COL1A2;MMP2,extracellular matrix organization;ecm;collagen;matrix metalloproteinase,Gene-only retrieval,synonym,1,1,1,Collagen degradation,Collagen degradation | Immune System | Adaptive Immune System,Collagen degradation | Immune System | Adaptive Immune System | Anchoring fibril formation | Assembly of collagen fibrils and other multimeric structures,1.0
ECM_organization,COL1A1;COL1A2;MMP2,extracellular matrix organization;ecm;collagen;matrix metalloproteinase,Pathway-only retrieval,synonym,1,1,1,Collagen degradation,Collagen degradation | Degradation of the extracellular matrix | Extracellular matrix organization,Collagen degradation | Degradation of the extracellular matrix | Extracellular matrix organization | Immune System | Signal Transduction,0.97
ECM_organization,COL1A1;COL1A2;MMP2,extracellular matrix organization;ecm;collagen;matrix metalloproteinase,GraphRAG-Gene,synonym,1,1,1,Collagen degradation,Collagen degradation | Degradation of the extracellular matrix | Extracellular matrix organization,Collagen degradation | Degradation of the extracellular matrix | Extracellular matrix organization | Immune System | Signal Transduction,0.97
Chromatin_modification,EZH2;SUZ12;EED,chromatin;prc2;polycomb;histone methylation;epigenetic,Gene-only retrieval,synonym,0,0,0,Activation of anterior HOX genes in hindbrain development during early embryogenesis,Activation of anterior HOX genes in hindbrain development during early embryogenesis | Activation of HOX genes during differentiation | Cellular responses to stimuli,Activation of anterior HOX genes in hindbrain development during early embryogenesis | Activation of HOX genes during differentiation | Cellular responses to stimuli | Cellular responses to stress | Cellular Senescence,0.88
Chromatin_modification,EZH2;SUZ12;EED,chromatin;prc2;polycomb;histone methylation;epigenetic,Pathway-only retrieval,synonym,0,0,0,Activation of anterior HOX genes in hindbrain development during early embryogenesis,Activation of anterior HOX genes in hindbrain development during early embryogenesis | Activation of HOX genes during differentiation | Cellular responses to stimuli,Activation of anterior HOX genes in hindbrain development during early embryogenesis | Activation of HOX genes during differentiation | Cellular responses to stimuli | Cellular responses to stress | Cellular Senescence,0.88
Chromatin_modification,EZH2;SUZ12;EED,chromatin;prc2;polycomb;histone methylation;epigenetic,GraphRAG-Gene,synonym,0,0,1,Activation of anterior HOX genes in hindbrain development during early embryogenesis,Activation of anterior HOX genes in hindbrain development during early embryogenesis | Activation of HOX genes during differentiation | Cellular Senescence,Activation of anterior HOX genes in hindbrain development during early embryogenesis | Activation of HOX genes during differentiation | Cellular Senescence | Chromatin modifying enzymes | Chromatin organization,1.0
RNA_polymerase_II,POLR2A;POLR2B;POLR2C,rna polymerase ii;transcription;gene expression,Gene-only retrieval,synonym,0,0,0,Abortive elongation of HIV-1 transcript in the absence of Tat,Abortive elongation of HIV-1 transcript in the absence of Tat | Activation of anterior HOX genes in hindbrain development during early embryogenesis | Activation of HOX genes during differentiation,Abortive elongation of HIV-1 transcript in the absence of Tat | Activation of anterior HOX genes in hindbrain development during early embryogenesis | Activation of HOX genes during differentiation | Cell Cycle | Chromosome Maintenance,1.0
RNA_polymerase_II,POLR2A;POLR2B;POLR2C,rna polymerase ii;transcription;gene expression,Pathway-only retrieval,synonym,0,0,0,Abortive elongation of HIV-1 transcript in the absence of Tat,Abortive elongation of HIV-1 transcript in the absence of Tat | Activation of anterior HOX genes in hindbrain development during early embryogenesis | Activation of HOX genes during differentiation,Abortive elongation of HIV-1 transcript in the absence of Tat | Activation of anterior HOX genes in hindbrain development during early embryogenesis | Activation of HOX genes during differentiation | Cell Cycle | Chromosome Maintenance,1.0
RNA_polymerase_II,POLR2A;POLR2B;POLR2C,rna polymerase ii;transcription;gene expression,GraphRAG-Gene,synonym,0,0,0,Abortive elongation of HIV-1 transcript in the absence of Tat,Abortive elongation of HIV-1 transcript in the absence of Tat | Activation of anterior HOX genes in hindbrain development during early embryogenesis | Activation of HOX genes during differentiation,Abortive elongation of HIV-1 transcript in the absence of Tat | Activation of anterior HOX genes in hindbrain development during early embryogenesis | Activation of HOX genes during differentiation | Cell Cycle | Chromosome Maintenance,1.0
Translation_initiation,EIF4E;EIF4G1;EIF2S1,translation;eukaryotic translation initiation;eif2;eif4,Gene-only retrieval,synonym,0,1,1,"Activation of the mRNA upon binding of the cap-binding complex and eIFs, and subsequent binding to 43S","Activation of the mRNA upon binding of the cap-binding complex and eIFs, and subsequent binding to 43S | Antiviral mechanism by IFN-stimulated genes | Cap-dependent Translation Initiation","Activation of the mRNA upon binding of the cap-binding complex and eIFs, and subsequent binding to 43S | Antiviral mechanism by IFN-stimulated genes | Cap-dependent Translation Initiation | Cytokine Signaling in Immune system | Eukaryotic Translation Initiation",1.0
Translation_initiation,EIF4E;EIF4G1;EIF2S1,translation;eukaryotic translation initiation;eif2;eif4,Pathway-only retrieval,synonym,0,1,1,"Activation of the mRNA upon binding of the cap-binding complex and eIFs, and subsequent binding to 43S","Activation of the mRNA upon binding of the cap-binding complex and eIFs, and subsequent binding to 43S | Antiviral mechanism by IFN-stimulated genes | Cap-dependent Translation Initiation","Activation of the mRNA upon binding of the cap-binding complex and eIFs, and subsequent binding to 43S | Antiviral mechanism by IFN-stimulated genes | Cap-dependent Translation Initiation | Cytokine Signaling in Immune system | Eukaryotic Translation Initiation",1.0
Translation_initiation,EIF4E;EIF4G1;EIF2S1,translation;eukaryotic translation initiation;eif2;eif4,GraphRAG-Gene,synonym,0,1,1,"Activation of the mRNA upon binding of the cap-binding complex and eIFs, and subsequent binding to 43S","Activation of the mRNA upon binding of the cap-binding complex and eIFs, and subsequent binding to 43S | Antiviral mechanism by IFN-stimulated genes | Cap-dependent Translation Initiation","Activation of the mRNA upon binding of the cap-binding complex and eIFs, and subsequent binding to 43S | Antiviral mechanism by IFN-stimulated genes | Cap-dependent Translation Initiation | Cytokine Signaling in Immune system | Eukaryotic Translation Initiation",1.0
Proteasome_degradation,PSMA1;PSMB5;PSMC1,proteasome;protein degradation;ubiquitin;metabolism of proteins,Gene-only retrieval,synonym,0,1,1,ABC transporter disorders,ABC transporter disorders | ABC-family proteins mediated transport | Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins,ABC transporter disorders | ABC-family proteins mediated transport | Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins | Activation of NF-kappaB in B cells | APC/C-mediated degradation of cell cycle proteins,1.0
Proteasome_degradation,PSMA1;PSMB5;PSMC1,proteasome;protein degradation;ubiquitin;metabolism of proteins,Pathway-only retrieval,synonym,0,1,1,ABC transporter disorders,ABC transporter disorders | ABC-family proteins mediated transport | Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins,ABC transporter disorders | ABC-family proteins mediated transport | Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins | Activation of NF-kappaB in B cells | Adaptive Immune System,1.0
Proteasome_degradation,PSMA1;PSMB5;PSMC1,proteasome;protein degradation;ubiquitin;metabolism of proteins,GraphRAG-Gene,synonym,0,1,1,ABC transporter disorders,ABC transporter disorders | ABC-family proteins mediated transport | Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins,ABC transporter disorders | ABC-family proteins mediated transport | Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins | Activation of NF-kappaB in B cells | Adaptive Immune System,1.0
DNA_replication,MCM2;MCM4;PCNA,dna replication;mcm;synthesis of dna;cell cycle,Gene-only retrieval,synonym,1,1,1,Cell Cycle,"Cell Cycle | Cell Cycle, Mitotic | DNA Replication","Cell Cycle | Cell Cycle, Mitotic | DNA Replication | DNA strand elongation | Activation of ATR in response to replication stress",1.0
DNA_replication,MCM2;MCM4;PCNA,dna replication;mcm;synthesis of dna;cell cycle,Pathway-only retrieval,synonym,1,1,1,Cell Cycle,"Cell Cycle | Cell Cycle, Mitotic | DNA Replication","Cell Cycle | Cell Cycle, Mitotic | DNA Replication | DNA strand elongation | G1/S Transition",1.0
DNA_replication,MCM2;MCM4;PCNA,dna replication;mcm;synthesis of dna;cell cycle,GraphRAG-Gene,synonym,1,1,1,Cell Cycle,"Cell Cycle | Cell Cycle, Mitotic | DNA Replication","Cell Cycle | Cell Cycle, Mitotic | DNA Replication | DNA strand elongation | G1/S Transition",1.0
Mismatch_repair,MLH1;MSH2;MSH6,mismatch repair;dna repair;msh;mlh,Gene-only retrieval,synonym,0,1,1,Disease,Disease | Diseases of DNA repair | Diseases of Mismatch Repair (MMR),Disease | Diseases of DNA repair | Diseases of Mismatch Repair (MMR) | DNA Repair | Mismatch Repair,0.85
Mismatch_repair,MLH1;MSH2;MSH6,mismatch repair;dna repair;msh;mlh,Pathway-only retrieval,synonym,0,1,1,Disease,Disease | Diseases of DNA repair | Diseases of Mismatch Repair (MMR),Disease | Diseases of DNA repair | Diseases of Mismatch Repair (MMR) | DNA Repair | Mismatch Repair,0.85
Mismatch_repair,MLH1;MSH2;MSH6,mismatch repair;dna repair;msh;mlh,GraphRAG-Gene,synonym,1,1,1,DNA Repair,DNA Repair | Mismatch Repair | Mismatch repair (MMR) directed by MSH2:MSH6 (MutSalpha),DNA Repair | Mismatch Repair | Mismatch repair (MMR) directed by MSH2:MSH6 (MutSalpha) | Disease | Diseases of DNA repair,0.91
Base_excision_repair,OGG1;APE1;XRCC1,base excision repair;dna repair;ber;xrcc1,Gene-only retrieval,synonym,0,1,1,APEX1-Independent Resolution of AP Sites via the Single Nucleotide Replacement Pathway,APEX1-Independent Resolution of AP Sites via the Single Nucleotide Replacement Pathway | Base Excision Repair | DNA Repair,"APEX1-Independent Resolution of AP Sites via the Single Nucleotide Replacement Pathway | Base Excision Repair | DNA Repair | Base-Excision Repair, AP Site Formation | Cleavage of the damaged purine",1.0
Base_excision_repair,OGG1;APE1;XRCC1,base excision repair;dna repair;ber;xrcc1,Pathway-only retrieval,synonym,0,1,1,APEX1-Independent Resolution of AP Sites via the Single Nucleotide Replacement Pathway,APEX1-Independent Resolution of AP Sites via the Single Nucleotide Replacement Pathway | Base Excision Repair | DNA Repair,"APEX1-Independent Resolution of AP Sites via the Single Nucleotide Replacement Pathway | Base Excision Repair | DNA Repair | Resolution of Abasic Sites (AP sites) | Base-Excision Repair, AP Site Formation",1.0
Base_excision_repair,OGG1;APE1;XRCC1,base excision repair;dna repair;ber;xrcc1,GraphRAG-Gene,synonym,0,1,1,APEX1-Independent Resolution of AP Sites via the Single Nucleotide Replacement Pathway,APEX1-Independent Resolution of AP Sites via the Single Nucleotide Replacement Pathway | Base Excision Repair | DNA Repair,"APEX1-Independent Resolution of AP Sites via the Single Nucleotide Replacement Pathway | Base Excision Repair | DNA Repair | Resolution of Abasic Sites (AP sites) | Base-Excision Repair, AP Site Formation",1.0
Nucleotide_excision_repair,XPA;ERCC2;ERCC3,nucleotide excision repair;dna repair;ner;ercc,Gene-only retrieval,synonym,1,1,1,DNA Repair,DNA Repair | Dual Incision in GG-NER | Dual incision in TC-NER,DNA Repair | Dual Incision in GG-NER | Dual incision in TC-NER | Formation of Incision Complex in GG-NER | Disease,0.97
Nucleotide_excision_repair,XPA;ERCC2;ERCC3,nucleotide excision repair;dna repair;ner;ercc,Pathway-only retrieval,synonym,1,1,1,DNA Repair,DNA Repair | Dual Incision in GG-NER | Dual incision in TC-NER,DNA Repair | Dual Incision in GG-NER | Dual incision in TC-NER | Formation of Incision Complex in GG-NER | Formation of TC-NER Pre-Incision Complex,1.0
Nucleotide_excision_repair,XPA;ERCC2;ERCC3,nucleotide excision repair;dna repair;ner;ercc,GraphRAG-Gene,synonym,1,1,1,DNA Repair,DNA Repair | Dual Incision in GG-NER | Dual incision in TC-NER,DNA Repair | Dual Incision in GG-NER | Dual incision in TC-NER | Formation of Incision Complex in GG-NER | Formation of TC-NER Pre-Incision Complex,1.0
Telomere_maintenance,TERT;TERF1;TERF2,telomere;telomere maintenance;tert;terf,Gene-only retrieval,synonym,0,0,0,Cell Cycle,Cell Cycle | Chromosome Maintenance | Base Excision Repair,"Cell Cycle | Chromosome Maintenance | Base Excision Repair | Base-Excision Repair, AP Site Formation | Cellular responses to stimuli",0.94
Telomere_maintenance,TERT;TERF1;TERF2,telomere;telomere maintenance;tert;terf,Pathway-only retrieval,synonym,0,1,1,Cell Cycle,Cell Cycle | Chromosome Maintenance | Extension of Telomeres,Cell Cycle | Chromosome Maintenance | Extension of Telomeres | Telomere Extension By Telomerase | Telomere Maintenance,1.0
Telomere_maintenance,TERT;TERF1;TERF2,telomere;telomere maintenance;tert;terf,GraphRAG-Gene,synonym,0,1,1,Cell Cycle,Cell Cycle | Chromosome Maintenance | Extension of Telomeres,Cell Cycle | Chromosome Maintenance | Extension of Telomeres | Telomere Extension By Telomerase | Telomere Maintenance,1.0
